iter	Logloss
0	0.3648061598
1	0.1843603966
2	0.09567832615
3	0.05318789537
4	0.03138054737
5	0.01996939217
6	0.01376272964
7	0.01000684506
8	0.007592047272
9	0.005974753058
10	0.005017562927
11	0.004422734243
12	0.004002510458
13	0.003664366289
14	0.0033812775
15	0.003205241407
16	0.003062671955
17	0.002949967951
18	0.002846927835
19	0.002794573824
20	0.002694003695
21	0.00264620744
22	0.002577255387
23	0.002549520788
24	0.002506073208
25	0.002456397789
26	0.002447580003
27	0.002431586942
28	0.002423028755
29	0.002367867404
30	0.002324237443
31	0.002317324808
32	0.002291471798
33	0.002256543984
34	0.002246671853
35	0.002235605625
36	0.002203266318
37	0.002199061257
38	0.002170542572
39	0.002148213927
40	0.002141822769
41	0.002133899112
42	0.002104990012
43	0.002076042305
44	0.002053686404
45	0.002043915189
46	0.002014003245
47	0.002001335163
48	0.001988873763
49	0.001985368709
50	0.001969285615
51	0.001958275167
52	0.001948973064
53	0.001939914756
54	0.001926209546
55	0.001911110128
56	0.001904990621
57	0.001895564902
58	0.001888446667
59	0.001881909071
60	0.001871336085
61	0.00185609879
62	0.001846134695
63	0.001831765696
64	0.001815249907
65	0.001796160976
66	0.001786706281
67	0.001772913295
68	0.001762231475
69	0.001752552044
70	0.0017451114
71	0.001735389854
72	0.001720885767
73	0.001715547717
74	0.001706572028
75	0.001695052784
76	0.001686754565
77	0.001676974219
78	0.001671296316
79	0.001667149866
80	0.001650686848
81	0.001643752298
82	0.001635500834
83	0.001621558476
84	0.00161715121
85	0.001606227265
86	0.001598508447
87	0.001590968262
88	0.001582440894
89	0.001571954284
90	0.001548080007
91	0.001542690917
92	0.00153618828
93	0.001531335623
94	0.001526213473
95	0.001517884334
96	0.001511712702
97	0.001506655323
98	0.001488738453
99	0.001482429201
100	0.001470495756
101	0.001465374348
102	0.001457364844
103	0.001454698125
104	0.001443378484
105	0.001436965861
106	0.001433196573
107	0.001423248277
108	0.001418455717
109	0.001414974832
110	0.001411533338
111	0.001404190527
112	0.001401328256
113	0.00138855309
114	0.001381520779
115	0.001372027759
116	0.001365387197
117	0.001359433442
118	0.001346264953
119	0.001336517403
120	0.001332215965
121	0.001329361084
122	0.001326274094
